9,20665454399973
6,23946176500006
7,89224399099943
10,0407990499995
6,12370766820980
6,78454938299980
9,66909271100069
5,65893546376778
6,05187108226121
9,26231226500018
6,69493677800018
6,07934270400007
5,94584833800001
7,41848706900048
7,97038478000044
10,7441246200003
9,30453152900068
15,9529701300000
6,19629774409803
5,94066197618493
5,72058093340206
11,7085163699994
8,28000000000030
6,04476824442790
8,83349540900069
12,4045337600010
5,60250000000000
5,76820021810076
10,9796541500004
8,72384265899954
10,9251572299992
8,55330560600013
8,97699823499933
12,4464910799996
11,2791027300007
8,69064829799953
